"Timestamp","1. Gender","2. What is your age ?","3. Current living District","4. Marital status","5. Highest Education Qualification","6. What is your Employment?","7. What is your monthly income range (If you don’t have a job, select NA)?","8. How often do you use the mobile banking service?","9. How many banking mobile app services you are using (in different banks)?","10. What services do you use in banking mobile app? ","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [24 hour access (anytime can access)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Time savings(no need to go to bank)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Cost savings ]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Ease of use]","12. Do you perceive mobile banking as secure","13. Do you think mobile banking service is cheap or expensive than traditional banking?","14. Please rate your overall satisfaction level of mobile banking service.","15. How do you think mobile banking apps can be improved?","16. Do you recommend banking mobile apps for others?"
"2020/11/22 5:14:58 PM GMT+5:30","Female","16-25","Colombo","Single","A/L","Unemployed","Less than 15,000","Once a month","1","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","4","5","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/22 6:37:04 PM GMT+5:30","Prefer not to say","35-45","Colombo","Single","Degree / Diploma","Private Sector- Executive","15,000 - 100,000","Weekly several times","2","Online transactions;Paying Bills;Credit card payment","2","2","3","4","Somewhat","Cheap","Neutral","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/22 6:38:52 PM GMT+5:30","Female","16-25","Gampaha","Single","A/L","Unemployed","Less than 15,000","Every 2-3 months","1","Online transactions","3","3","3","3","Somewhat","Cheap","Neutral","Simple user-interfaces","Yes"
"2020/11/22 6:39:53 PM GMT+5:30","Female","25-35","Kalutara","Single","A/L","Private Sector - Employee","15,000 - 100,000","Weekly several times","2","Online transactions;Paying Bills","4","4","4","3","Somewhat","Cheap","Neutral","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/22 6:40:52 PM GMT+5:30","Male","35-45","Galle","Married","A/L","Private Sector - Employee","15,000 - 100,000","Once a month","2","Online transactions;Money Transaction (Third party);Just to check the account balance/status","3","3","3","2","Somewhat","Expensive","Neutral","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/22 6:41:57 PM GMT+5:30","Female","45-60","Badulla","Married","Secondary (upto O/L)","Housewife","Less than 15,000","Every 2-3 months","1","Just to check the account balance/status","3","3","3","3","Somewhat","Cheap","Neutral","Simple user-interfaces","Yes"
"2020/11/22 6:43:04 PM GMT+5:30","Female","35-45","Kandy","Married","A/L","Government /Public Service","15,000 - 100,000","Weekly Once","1","Online transactions;Paying Bills;Just to check the account balance/status","3","3","3","3","Very","Cheap","Satisfied","Simple user-interfaces;Improve security of transactions;Add more functionalities","Yes"
"2020/11/22 6:44:06 PM GMT+5:30","Prefer not to say","35-45","Colombo","Single","Degree / Diploma","Private Sector- Executive","100,000 - 200,000","Daily several times","3","Online transactions;Paying Bills;Money Transaction (Third party);Credit card payment;Pay loan EMI","3","3","2","3","Somewhat","Expensive","Neutral","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/22 6:47:37 PM GMT+5:30","Male","25-35","Gampaha","Married","Degree / Diploma","Government /Public Service","Less than 15,000","Weekly several times","2","Online transactions;Credit card payment","3","2","3","4","Somewhat","Cheap","Extremely dissatisfied","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/22 7:01:58 PM GMT+5:30","Male","25-35","Gampaha","Married","Degree / Diploma","Government /Public Service","Less than 15,000","Weekly several times","2","Online transactions;Credit card payment","3","2","3","4","Somewhat","Cheap","Extremely dissatisfied","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/22 7:06:16 PM GMT+5:30","Male","16-25","Galle","Single","Degree / Diploma","Student","Not Applicable","Weekly Once","1","Just to check the account balance/status","4","3","5","5","Somewhat","Expensive","Satisfied","Simple user-interfaces;Add more functionalities","Yes"
"2020/11/22 7:07:21 PM GMT+5:30","Male","45-60","Kalutara","Married","Degree / Diploma","Pensionier","15,000 - 100,000","Once a month","1","Paying Bills;Just to check the account balance/status","3","3","3","4","Somewhat","Cheap","Neutral","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/22 7:08:46 PM GMT+5:30","Female","Above 60","Kandy","Married","Secondary (upto O/L)","Housewife","Not Applicable","Every 2-3 months","1","Just to check the account balance/status","4","3","4","4","Somewhat","Expensive","Neutral","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/22 7:13:19 PM GMT+5:30","Male","25-35","Kegalle","Married","A/L","Housewife","15,000 - 100,000","Once a month","1","Online transactions;Just to check the account balance/status","3","3","4","4","Somewhat","Cheap","Neutral","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/22 7:14:24 PM GMT+5:30","Male","16-25","Gampaha","Married","Secondary (upto O/L)","Housewife","Not Applicable","Daily Once","1","Just to check the account balance/status","4","3","4","4","Somewhat","Cheap","Neutral","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/22 7:56:05 PM GMT+5:30","Male","16-25","Gampaha","Married","Secondary (upto O/L)","Housewife","Not Applicable","Daily Once","1","Just to check the account balance/status","4","3","4","4","Somewhat","Cheap","Neutral","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/22 7:56:41 PM GMT+5:30","Female","16-25","Galle","Single","Degree / Diploma","Student","Not Applicable","Once a month","1","Credit card payment;Just to check the account balance/status","4","3","2","3","Not at all","Expensive","Extremely Satisfied","Simple user-interfaces","Yes"
"2020/11/23 9:17:33 PM GMT+5:30","Female","16-25","Colombo","Single","A/L","Unemployed","Less than 15,000","Once a month","1","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","4","5","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
